-13236,2101
-8541,2296
-7125,2414
13787,2454
12422,2419
2728,2316
12732,2154
-14670,1946
-9741,1707
-11118,1451
-11433,1195
811,953
12899,737
-9846,559
15060,425
1645,340
-10843,304
12590,316
1911,368
-8817,452
-3616,558
-7523,674
-99,786
13543,884
6866,957
1644,995
1448,993
4902,947
-3844,857
-6344,728
2571,566
5117,379
-16566,181
13217,-15
-16927,-198
-10516,-352
-2989,-466
6004,-529
3190,-534
6248,-476
7610,-354
-11646,-171
8729,65
11226,346
-13423,657
8874,985
1221,1311
-13756,1620
-256,1893
5020,2118
282,2279
-6296,2369
1455,2381
1442,2313
-4934,2168
-296,1952
-7233,1677
-566,1355
214,1004
3139,641
12393,285
5132,-43
-11661,-330
9568,-559
2962,-719
5744,-802
12077,-805
-5201,-730
4959,-581
14082,-369
-7033,-109
-13331,182
-572,486
-9901,782
13435,1049
-17003,1267
14527,1419
-12261,1490
-1696,1470
-3241,1351
12773,1132
7448,816
-17965,412
11974,-67
10214,-607
1449,-1186
12578,-1783
11159,-2374
11043,-2936
4704,-3447
4558,-3886
-9968,-4236
13374,-4483
-12324,-4618
2475,-4636
-10228,-4538
-2379,-4329
-6310,-4018
-13286,-3620
-3423,-3151
-11327,-2632
-7728,-2083
9678,-1526
-171,-984
3865,-476
10137,-20
-9441,368
-7847,680
10086,906
3542,1044
-11510,1095
6196,1065
-2879,963
1411,801
-11606,595
4955,360
-3407,115
-16113,-123
-12480,-338
16297,-516
-9297,-644
-6309,-711
7340,-713
1291,-646
-978,-513
10540,-317
-505,-67
10474,224
-7897,546
-12969,882
-9494,1216
-14247,1532
17675,1814
1362,2048
7241,2223
-9265,2328
-9025,2359
7360,2312
-3472,2188
-2282,1993
-6238,1733
-10560,1419
2062,1067
14680,690
9965,306
3603,-67
-6282,-415
8894,-719
8768,-967
-4669,-1146
6087,-1248
-14951,-1267
-8491,-1201
-10238,-1052
14216,-826
2041,-531
-4504,-179
-12465,217
6266,640
-5849,1075
-1903,1504
-2843,1909
7950,2276
-670,2590
8424,2840
-4524,3017
-6203,3115
4666,3132
-5012,3067
-15002,2925
-2618,2711
12019,2436
2650,2109
5775,1743
-4325,1351
-6535,946
9610,542
9062,149
11468,-219
12230,-556
9284,-854
7860,-1107
9095,-1313
-17752,-1470
-1295,-1580
-14706,-1643
-5855,-1665
-3085,-1649
-2791,-1602
8025,-1527
-9771,-1431
11265,-1319
6022,-1194
-7534,-1062
8178,-925
4752,-785
-403,-645
-2907,-507
8604,-370
-1073,-238
-9218,-111
-2455,9
6544,121
9065,222
-901,309
-14550,379
-8336,429
-7481,454
-3074,452
3014,420
9266,354
3524,255
-9673,123
3600,-41
9674,-236
-5721,-454
14022,-691
2042,-939
7442,-1188
-3747,-1429
453,-1653
11783,-1848
-5568,-2005
-9417,-2117
-8846,-2175
3496,-2175
-15149,-2113
5495,-1989
-4715,-1805
5417,-1565
-3093,-1276
11906,-947
-3640,-589
-9935,-213
-11480,167
-9079,540
1490,893
-5370,1214
10039,1494
5897,1725
10957,1901
-11718,2019
1068,2079
-2720,2082
-1098,2031
-809,1934
-13947,1798
-14908,1630
12812,1441
15031,1238
-1894,1032
4707,829
-8297,637
6550,460
-5318,301
2474,162
764,44
14049,-55
12063,-138
-367,-208
-9504,-269
-9454,-325
2410,-378
-3163,-432
6778,-487
-3837,-545
-6879,-605
-7349,-664
-7554,-719
11330,-767
12078,-804
14669,-823
8626,-822
-3400,-797
-6876,-745
12768,-665
-15615,-557
-8537,-424
-9265,-270
5116,-101
-12839,76
-4495,253
618,421
-1197,570
-8949,693
13683,781
9676,827
9439,827
3779,780
8417,685
-2568,544
-3978,364
-12140,152
8935,-81
-11969,-327
2806,-572
10950,-805
-9942,-1014
6531,-1188
-2546,-1319
-3804,-1400
870,-1429
6585,-1403
-7278,-1326
-418,-1203
-8022,-1042
16528,-853
6443,-648
-8439,-441
-14800,-244
13319,-71
-12457,66
3599,160
771,202
-106,189
15793,119
9530,-4
-7808,-175
-8313,-386
-14590,-625
9307,-878
-9428,-1132
-4747,-1370
-1542,-1580
13492,-1748
-11279,-1862
13338,-1915
-9019,-1900
3738,-1817
-3200,-1665
-4034,-1451
14651,-1182
-6401,-869
-3797,-525
906,-164
-8882,198
2013,549
-6806,874
-9453,1161
480,1401
-2735,1587
-3450,1716
-13456,1789
-13879,1807
16816,1777
-10564,1708
9699,1611
3235,1496
-2890,1378
15704,1267
2841,1175
-7303,1112
11220,1084
-7091,1098
-15690,1154
11486,1251
-9721,1386
-5027,1550
7219,1734
-488,1929
-13640,2121
-6259,2298
7344,2448
13132,2559
-13618,2622
-2115,2630
-1161,2578
4358,2463
6478,2288
4025,2057
12178,1775
10714,1452
761,1099
10889,728
4849,353
-884,-14
-12689,-362
3618,-679
-7991,-957
289,-1187
-8664,-1366
-4059,-1492
5269,-1564
6719,-1587
11708,-1566
4244,-1506
-4451,-1417
7657,-1307
3601,-1185
7597,-1060
8175,-940
-5839,-833
-15880,-742
-3213,-673
-7987,-626
12355,-602
-8463,-600
2502,-615
-2968,-643
-78,-680
5478,-719
9654,-754
-8372,-780
8974,-791
-14707,-785
8970,-758
-10835,-708
-6419,-637
3113,-545
-5204,-436
9719,-313
-5547,-181
5885,-46
-4086,86
9130,211
-3324,323
1705,417
13289,489
-10977,537
-2181,560
7731,557
-15745,529
-6236,479
-11720,409
-1859,325
7672,230
11773,130
-11624,29
8982,-66
-284,-153
11831,-227
8235,-285
-16691,-325
-1891,-345
804,-345
9491,-327
4973,-291
-10625,-239
5695,-176
-3309,-103
12685,-24
-14888,56
-2905,136
-10433,212
2766,281
8184,342
-15558,393
3896,433
8925,462
-6187,481
5438,491
-11191,493
15611,488
-12428,480
10765,469
12380,458
10948,447
-9810,439
-10739,433
-11902,429
8318,427
-4977,426
6987,424
-12244,419
13067,409
-6053,390
13785,361
7163,317
-7299,258
5880,180
8035,82
697,-34
-9297,-172
1909,-330
-12872,-504
1322,-693
-16473,-892
10537,-1097
12303,-1304
-4693,-1506
14270,-1697
15054,-1873
12068,-2026
-8999,-2154
6135,-2250
-7727,-2311
13563,-2336
-16221,-2324
-14050,-2273
-400,-2185
74,-2063
-5480,-1911
-10333,-1732
4322,-1533
-14360,-1317
14510,-1093
-13215,-864
17125,-636
-3702,-415
1133,-204
12860,-7
-5853,175
-8395,341
-13416,491
-5063,625
4143,746
5907,856
-14760,957
16459,1053
-5886,1145
-13747,1237
-8339,1328
15187,1420
10775,1513
-153,1604
-15538,1691
-11497,1772
14750,1841
-6947,1896
-1449,1930
-5561,1939
13455,1920
3939,1870
-15983,1785
6629,1667
9663,1514
10023,1331
